[14:10:47] [Trend] EXEC: BUY 9 AXISBANK.NS @ 1,065.00 | Strat Cash: 480,629.00 | Pos: 9
[14:10:47] [Trend] EXEC: BUY 25 COALINDIA.NS @ 381.90 | Strat Cash: 471,081.50 | Pos: 25
[14:10:47] [MeanReversion] EXEC: BUY 2 HEROMOTOCO.NS @ 4,321.70 | Strat Cash: 472,183.70 | Pos: 2
[14:10:47] [MeanReversion] EXEC: BUY 5 SUNPHARMA.NS @ 1,709.30 | Strat Cash: 463,637.20 | Pos: 5
[14:11:33] [Trend] EXEC: BUY 1 APOLLOHOSP.NS @ 7,453.50 | Strat Cash: 492,546.50 | Pos: 1
[14:11:33] [Trend] EXEC: BUY 4 ASIANPAINT.NS @ 2,365.60 | Strat Cash: 483,084.10 | Pos: 4
[14:11:33] [Trend] EXEC: BUY 5 BHARTIARTL.NS @ 1,922.00 | Strat Cash: 473,474.10 | Pos: 5
[14:11:33] [MeanReversion] EXEC: BUY 6 CIPLA.NS @ 1,571.30 | Strat Cash: 490,572.20 | Pos: 6
[14:11:33] [Trend] EXEC: BUY 24 COALINDIA.NS @ 381.90 | Strat Cash: 464,308.50 | Pos: 24
[14:11:33] [Trend] EXEC: BUY 4 HDFCBANK.NS @ 2,023.60 | Strat Cash: 456,214.10 | Pos: 4
[14:11:33] [Trend] EXEC: BUY 22 ITC.NS @ 409.40 | Strat Cash: 447,207.30 | Pos: 22
[14:11:33] [Trend] EXEC: BUY 26 NTPC.NS @ 333.95 | Strat Cash: 438,524.60 | Pos: 26
[14:11:33] [MeanReversion] EXEC: BUY 4 NESTLEIND.NS @ 2,224.60 | Strat Cash: 481,673.80 | Pos: 4
[14:11:33] [MeanReversion] EXEC: BUY 32 POWERGRID.NS @ 293.20 | Strat Cash: 472,291.40 | Pos: 32
[14:11:33] [Trend] EXEC: BUY 10 SBIN.NS @ 799.00 | Strat Cash: 430,534.60 | Pos: 10
[14:11:33] [MeanReversion] EXEC: BUY 5 SUNPHARMA.NS @ 1,709.20 | Strat Cash: 463,745.40 | Pos: 5
[14:11:33] [Trend] EXEC: BUY 53 TATASTEEL.NS @ 161.52 | Strat Cash: 421,974.04 | Pos: 53
[14:11:33] [Trend] EXEC: BUY 5 TECHM.NS @ 1,458.10 | Strat Cash: 414,683.54 | Pos: 5
[14:11:33] [Trend] EXEC: BUY 2 TITAN.NS @ 3,372.00 | Strat Cash: 407,939.54 | Pos: 2
[14:11:33] [Trend] EXEC: BUY 32 WIPRO.NS @ 251.30 | Strat Cash: 399,897.94 | Pos: 32
[14:12:35] [Trend] EXEC: BUY 1 BRITANNIA.NS @ 5,627.00 | Strat Cash: 394,270.94 | Pos: 1
[14:12:35] [Trend] EXEC: BUY 1 EICHERMOT.NS @ 5,448.50 | Strat Cash: 388,822.44 | Pos: 1
[14:12:35] [Trend] EXEC: BUY 1 HEROMOTOCO.NS @ 4,327.80 | Strat Cash: 384,494.64 | Pos: 1
[14:12:35] [Trend] EXEC: BUY 3 HINDUNILVR.NS @ 2,446.90 | Strat Cash: 377,153.94 | Pos: 3
[14:12:35] [Trend] EXEC: BUY 5 ICICIBANK.NS @ 1,488.00 | Strat Cash: 369,713.94 | Pos: 5
[14:12:35] [Trend] EXEC: BUY 9 INDUSINDBK.NS @ 806.20 | Strat Cash: 362,458.14 | Pos: 9
[14:12:35] [Trend] EXEC: BUY 4 INFY.NS @ 1,515.30 | Strat Cash: 356,396.94 | Pos: 4
[14:12:35] [Trend] EXEC: BUY 3 KOTAKBANK.NS @ 1,970.80 | Strat Cash: 350,484.54 | Pos: 3
[14:12:35] [MeanReversion] EXEC: BUY 38 ONGC.NS @ 241.34 | Strat Cash: 454,574.48 | Pos: 38
[14:13:36] [Trend] EXEC: BUY 6 AXISBANK.NS @ 1,065.10 | Strat Cash: 344,093.94 | Pos: 6
[14:13:36] [MeanReversion] EXEC: BUY 6 HCLTECH.NS @ 1,471.10 | Strat Cash: 445,747.88 | Pos: 6
[14:13:36] [Trend] EXEC: BUY 6 JSWSTEEL.NS @ 1,040.90 | Strat Cash: 337,848.54 | Pos: 6
[14:13:36] [Trend] EXEC: BUY 6 TATACONSUM.NS @ 1,063.30 | Strat Cash: 331,468.74 | Pos: 6
[14:14:18] [Trend] EXEC: SELL 4 ASIANPAINT.NS @ 2,386.60 | Strat Cash: 509,546.40 | Pos: 0
[14:14:18] [Trend] EXEC: SELL 1 BRITANNIA.NS @ 5,624.00 | Strat Cash: 515,170.40 | Pos: 0
[14:14:18] [Trend] EXEC: SELL 1 HEROMOTOCO.NS @ 4,326.00 | Strat Cash: 519,496.40 | Pos: 0
[14:14:18] [Trend] EXEC: SELL 6 JSWSTEEL.NS @ 1,041.50 | Strat Cash: 525,745.40 | Pos: 0
[14:14:18] [Trend] EXEC: SELL 6 TATACONSUM.NS @ 1,062.60 | Strat Cash: 532,121.00 | Pos: 0
[14:15:20] [Trend] EXEC: BUY 4 ASIANPAINT.NS @ 2,402.90 | Strat Cash: 522,509.40 | Pos: 4
[14:15:20] [Trend] EXEC: BUY 1 DIVISLAB.NS @ 6,662.50 | Strat Cash: 515,846.90 | Pos: 1
[14:15:20] [MeanReversion] EXEC: BUY 14 HINDALCO.NS @ 692.40 | Strat Cash: 490,306.40 | Pos: 14
[14:16:48] [Trend] EXEC: BUY 1 BRITANNIA.NS @ 5,625.00 | Strat Cash: 494,375.00 | Pos: 1
[14:16:48] [Trend] EXEC: SELL 1 DIVISLAB.NS @ 6,663.50 | Strat Cash: 501,038.50 | Pos: 0
[14:16:48] [Trend] EXEC: BUY 1 LTIM.NS @ 5,078.00 | Strat Cash: 495,960.50 | Pos: 1
[14:16:48] [Trend] EXEC: BUY 2 LT.NS @ 3,497.90 | Strat Cash: 488,964.70 | Pos: 2
[14:16:48] [Trend] EXEC: BUY 14 TATAMOTORS.NS @ 691.45 | Strat Cash: 479,284.40 | Pos: 14
[14:16:48] [Trend] EXEC: BUY 3 TCS.NS @ 3,059.50 | Strat Cash: 470,105.90 | Pos: 3
[14:19:38] [Trend] EXEC: BUY 7 ADANIPORTS.NS @ 1,394.50 | Strat Cash: 490,238.50 | Pos: 7
